 PNAME , OPRNAME , UTLSRVNM ,BANAME, LAT , LON , PLPRMFL , PLFUELCT , CAPFAC , NAMEPCAP 
Fort Benning Solar Facility,Southern Co Services Inc,Georgia Power Co,"Southern Company Services, Inc. - Trans",32.352369,-84.968819,SUN,SOLAR,,30
Fort Gordon Solar Facility,Southern Co Services Inc,Georgia Power Co,"Southern Company Services, Inc. - Trans",33.386625,-82.140117,SUN,SOLAR,,30
Fort Stewart Solar Facility,Southern Co Services Inc,Georgia Power Co,"Southern Company Services, Inc. - Trans",31.90474,-81.595373,SUN,SOLAR,,30
Georgia Pacific Center,Georgia Power Co,GAMET,"Southern Company Services, Inc. - Trans",33.7614,-84.3875,DFO,OIL,,1.4
Georgia Power at Wadley GA,Georgia Power Co,"Constellation Solar Georgia, LLC.",Southeastern Power Administration,32.883,-82.41,SUN,SOLAR,0.001,1
Georgia-Pacific Cedar Springs,Georgia Power Co,Georgia-PacificCedar Springs LLC,"Southern Company Services, Inc. - Trans",31.166,-85.0951,NG,GAS,0.659,101.2
GPC3,,Georgia Power Co,"Southern Company Services, Inc. - Trans",,,NG,GAS,,660
GPC4,,Georgia Power Co,"Southern Company Services, Inc. - Trans",,,NG,GAS,,570
GPC5,,Georgia Power Co,"Southern Company Services, Inc. - Trans",,,NG,GAS,,930
GPC6,,Georgia Power Co,"Southern Company Services, Inc. - Trans",,,NG,GAS,,570
Graniteville Enterprise Division,Georgia Power Co,Augusta Canal Authority,"Southern Company Services, Inc. - Trans",33.477027,-81.982732,WAT,HYDRO,0.355,1.2
Hammond,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",34.2528,-85.3456,BIT,COAL,0.135,953
Harllee Branch,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",33.195,-83.2983,BIT,COAL,0.166,1746.2
Hartwell Energy Facility,Georgia Transmission Corp,Oglethorpe Power Corporation,"Southern Company Services, Inc. - Trans",34.339588,-82.819871,NG,GAS,0.01,360
Hartwell Lake,"Duke Energy Carolinas, LLC",USCE-Savannah District,Southeastern Power Administration,34.3564,-82.8219,WAT,HYDRO,0.123,420
Hawk Road Energy Facility,Georgia Transmission Corp,Oglethorpe Power Corporation,"Southern Company Services, Inc. - Trans",33.358472,-84.991391,NG,GAS,0.044,495
Hewlett Packard Alpharetta,Georgia Power Co,Hewlett-Packard Company,"Southern Company Services, Inc. - Trans",34.0875,-84.8694,DFO,OIL,,8
Hickory Ridge Landfill Solar Project,Georgia Power Co,"BFI Waste Systems of GA, LLC",Southeastern Power Administration,33.665,-84.336111,SUN,SOLAR,0.042,1
High Shoals Hydro (GA),Georgia Power Co,High Shoals Hydro,"Southern Company Services, Inc. - Trans",33.816547,-83.504932,WAT,HYDRO,0.073,1.4
Hopeful Solar LLC,Mitchell Electric Member Corp,Capital Power Corporation,"Southern Company Services, Inc. - Trans",31.126342,-84.397442,SUN,SOLAR,,29
IKEA Savannah 490,Georgia Power Co,IKEA Property Inc,"Southern Company Services, Inc. - Trans",32.177535,-81.173775,SUN,SOLAR,0.126,1.2
Imperial Savannah LP,Georgia Power Co,Imperial Savannah LP,"Southern Company Services, Inc. - Trans",32.143989,-81.14655,NG,GAS,0.468,11.7
Inforum,Georgia Power Co,Cousins Properties Inc,"Southern Company Services, Inc. - Trans",33.7533,-84.3889,DFO,OIL,,1.3
Inland Paperboard Packaging Rome,Georgia Power Co,Inland Paperboard - Rome Mill,"Southern Company Services, Inc. - Trans",34.2528,-85.3275,BLQ,BIOMASS,0.639,77.9
International Paper Augusta Mill,Georgia Power Co,International Paper Co-Augusta,"Southern Company Services, Inc. - Trans",33.328259,-81.953078,BLQ,BIOMASS,0.55,84.7
International Paper Savanna Mill,Georgia Power Co,International Paper Co,"Southern Company Services, Inc. - Trans",32.100354,-81.124248,BLQ,BIOMASS,0.37,206.5
Interstate Paper LLC Riceboro,Georgia Power Co,Interstate Paper LLC,"Southern Company Services, Inc. - Trans",31.741629,-81.407856,BLQ,BIOMASS,0.84,14.5
Jack McDonough,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",33.8239,-84.4758,NG,GAS,0.607,3202
Kamin LLC Wrens Mine,Georgia Power Co,Kamin LLC,"Southern Company Services, Inc. - Trans",33.3319,-82.4522,DFO,OIL,,2
Kamin LLC Wrens Plant,Georgia Power Co,Kamin LLC,"Southern Company Services, Inc. - Trans",33.273835,-82.407813,NG,GAS,0.021,11.4
King's Bay Solar Facility,Southern Co Services Inc,Georgia Power Co,"Southern Company Services, Inc. - Trans",30.834897,-81.563637,SUN,SOLAR,,30
Kraft,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",32.1486,-81.1458,BIT,COAL,0.192,352.4
Lake Blackshear Project,Crisp County Power Comm,Crisp County Power Comm,"Southern Company Services, Inc. - Trans",31.847697,-83.941996,WAT,HYDRO,0.286,17.2
Lakeland Solar Energy LLC,Georgia Power Co,Invenergy Services LLC,"Southern Company Services, Inc. - Trans",31.026944,-83.055,SUN,SOLAR,0.187,1.8
Laredo Bus Facility Solar Canopies,Georgia Power Co,MARTA,"Southern Company Services, Inc. - Trans",33.783333,-84.267778,SUN,SOLAR,0.165,1
Lloyd Shoals,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",33.320773,-83.841922,WAT,HYDRO,0.517,14.4
Marine Corps Logistics Base Solar Facility,Southern Co Services Inc,Georgia Power Co,"Southern Company Services, Inc. - Trans",31.560729,-84.093261,SUN,SOLAR,,46
MAS ASB Cogen Plant,Georgia Power Co,MAS ASB Cogen LLC,"Southern Company Services, Inc. - Trans",33.655,-84.394444,LFG,BIOMASS,0.786,6.6
McIntosh (6124),Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",32.356287,-81.168347,SUB,COAL,0.036,988
McIntosh Combined Cycle Facility,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",32.3478,-81.1817,NG,GAS,0.608,1376.6
MCLB Landfill Gas to Energy,Georgia Power Co,Inst and Envir Div Marine Logistics Base,"Southern Company Services, Inc. - Trans",31.546111,-84.0675,OBG,BIOMASS,0.711,1.9
McManus,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",31.213645,-81.546165,RFO,OIL,0.001,644.3
MEAG1,,Municipal Electric Authority,,,,NG,GAS,,170.9
MEAG2,,Municipal Electric Authority,,,,NG,GAS,,170.9
MEAG3,,Municipal Electric Authority,,,,NG,GAS,,170.9
Mid-Georgia Cogeneration,Georgia Power Co,Mid-Georgia Cogen LP,"Southern Company Services, Inc. - Trans",32.4856,-83.6039,NG,GAS,0.07,323
Milstead,Georgia Power Co,Mill Shoals Hydro Co Inc,"Southern Company Services, Inc. - Trans",33.689362,-83.990333,WAT,HYDRO,0.268,1
Mitchell (GA),Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",31.444728,-84.134696,BIT,COAL,0.024,343.6
Morgan Falls,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",33.9684,-84.3827,WAT,HYDRO,0.25,16.8
"MPC Generating, LLC",Georgia Power Co,MPC Generating,"Southern Company Services, Inc. - Trans",33.8119,-83.6953,NG,GAS,0.001,386.1
Nacoochee,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",34.755269,-83.501073,WAT,HYDRO,0.252,4.8
Naval Submarine Base Kings Bay,Georgia Transmission Corp,Kings Bay Naval Base,"Southern Company Services, Inc. - Trans",30.7917,-81.5333,DFO,OIL,0.009,30
North Highlands,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",32.498791,-84.995585,WAT,HYDRO,0.436,29.6
Nottely,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,34.959153,-84.08765,WAT,HYDRO,0.197,15.9
Oliver Dam,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",32.5163,-84.9969,WAT,HYDRO,0.376,60
Pawpaw Solar Plant,Georgia Power Co,Southern Power Co,"Southern Company Services, Inc. - Trans",32.572875,-84.256778,SUN,SOLAR,,30
Pecan Row Landfill To Electric Facility,Colquitt Electric Membership Corp,ESG Biofuels (Southern Georgia) Company LLC,"Southern Company Services, Inc. - Trans",30.815,-83.3625,LFG,BIOMASS,0.635,4.8
Piedmont Green Power,Georgia Power Co,Piedmont Green Power,"Southern Company Services, Inc. - Trans",33.045278,-84.125556,WDS,BIOMASS,0.724,60
PInova Inc,Georgia Power Co,PInova Inc,"Southern Company Services, Inc. - Trans",31.164772,-81.478724,WDS,BIOMASS,0.18,9.1
Plant Washington,Georgia Transmission Corp,Power4Georgians LLC,"Southern Company Services, Inc. - Trans",33.064722,-82.745,SUB,COAL,,850
Port Wentworth Mill,Georgia Power Co,Weyerhaeuser NR  Port Wentworth,"Southern Company Services, Inc. - Trans",32.1561,-81.1586,OBG,BIOMASS,0.452,72.3
Rabun Gap Cogen Facility,Coweta-Fayette El Member Corp,Multitrade Rabun Gap LLC,"Southern Company Services, Inc. - Trans",34.9536,-83.3786,WDS,BIOMASS,0.485,24.1
Rayonier Advanced Materials - Jesup Plant,Georgia Power Co,"Rayonier Performance Fibers, LLC","Southern Company Services, Inc. - Trans",31.6593,-81.8439,BLQ,BIOMASS,0.519,82
Richard B Russell,Georgia Power Co,USCE-Savannah District,Southeastern Power Administration,34.0256,-82.5953,WAT,HYDRO,0.064,628
Richland Solar Center,Georgia Transmission Corp,Dominion Renewable Energy,Southeastern Power Administration,32.638034,-83.378924,SUN,SOLAR,,20
Riverside (GA),,Georgia Power Co,"Southern Company Services, Inc. - Trans",32.083611,-81.095555,NG,GAS,,105.9
Riverwood 100 Building,Georgia Power Co,Highwoods Properties,"Southern Company Services, Inc. - Trans",33.8775,-84.4603,DFO,OIL,,1.1
Riverwood International Macon Mill,Georgia Power Co,Riverwood Intl USA Inc,"Southern Company Services, Inc. - Trans",32.7714,-83.6281,BLQ,BIOMASS,0.796,73.4
Roberts Road Power Plant,Coweta-Fayette El Member Corp,Energy Developments Inc,"Southern Company Services, Inc. - Trans",33.4878,-84.4406,LFG,BIOMASS,,1.4
Robins,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",32.5792,-83.5822,NG,GAS,0.005,183.8
Rocky Mountain Hydroelectric Plant,Georgia Transmission Corp,Oglethorpe Power Corporation,"Southern Company Services, Inc. - Trans",34.355538,-85.303942,WAT,HYDRO, -   ,847.8
Rumble Road Energy Center,Georgia Transmission Corp,Oglethorpe Power Corporation,"Southern Company Services, Inc. - Trans",32.975833,-83.846111,NG,GAS,,660
Savannah River Mill,Georgia Power Co,Georgia-Pacific Consr Prods LP-Savannah,"Southern Company Services, Inc. - Trans",32.331274,-81.201496,PC,OIL,0.21,140.4
Scherer,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",33.0606,-83.8075,SUB,COAL,0.605,3564
Sewell Creek Energy,Georgia Transmission Corp,Oglethorpe Power Corporation,"Southern Company Services, Inc. - Trans",33.9486,-85.2769,NG,GAS,0.029,570
Shepherd Center,Georgia Power Co,Shepherd Center,"Southern Company Services, Inc. - Trans",33.8111,-84.3928,DFO,OIL,,2.9
Sibley Mill,Georgia Power Co,Augusta Canal Authority,"Southern Company Services, Inc. - Trans",33.487881,-81.99252,WAT,HYDRO,0.78,2.1
Simon Solar Farm LLC,Georgia Transmission Corp,Simon Solar Farm LLC,"Southern Company Services, Inc. - Trans",33.678056,-83.675833,SUN,SOLAR,0.227,30
Sinclair Dam,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",33.1403,-83.2028,WAT,HYDRO,0.266,45
Smarr Energy Facility,Georgia Transmission Corp,Oglethorpe Power Corporation,"Southern Company Services, Inc. - Trans",32.9842,-83.8464,NG,GAS,0.014,242
South Columbus Water Resource Facility,Georgia Power Co,Columbus Water Works,"Southern Company Services, Inc. - Trans",32.4119,-84.9761,OBG,BIOMASS,0.033,3.6
South Georgia Medical Center,Georgia Power Co,Lowndes County Hospital Authority,"Southern Company Services, Inc. - Trans",30.8625,-83.2894,DFO,OIL,,6.7
Sowega Power Project,Georgia Transmission Corp,SOWEGA Power LLC,"Southern Company Services, Inc. - Trans",31.3869,-84.08,NG,GAS,0.072,99.6
SR Hazlehurst,Satilla Rural Elec Member Corporation,"SR Hazlehurst, LLC","Southern Company Services, Inc. - Trans",31.810278,-82.575,SUN,SOLAR,,20
State Farm Support Center East,Georgia Power Co,State Farm Mutual Auto Ins Co,"Southern Company Services, Inc. - Trans",34.0858,-84.2353,DFO,OIL,0.002,10.8
Stevens Creek,South Carolina Electric&Gas Company,South Carolina Electric&Gas Company,South Carolina Electric & Gas Company,33.562644,-82.051242,WAT,HYDRO,0.499,18.4
Sun Trust Plaza,Georgia Power Co,Sun Trust Plaza Associates LLC,"Southern Company Services, Inc. - Trans",33.7625,-84.3872,DFO,OIL,0.002,2.4
Superior Landfill Gas Recovery,Georgia Power Co,WM Renewable Energy LLC,"Southern Company Services, Inc. - Trans",32.0303,-81.2722,LFG,BIOMASS,0.758,6.4
Talbot Energy Facility,Georgia Transmission Corp,Oglethorpe Power Corporation,"Southern Company Services, Inc. - Trans",32.5892,-84.6917,NG,GAS,0.032,726
Tallassee Hydro Project,Georgia Transmission Corp,Tallassee Shoals LLC,"Southern Company Services, Inc. - Trans",33.989153,-83.498448,WAT,HYDRO,0.294,2.3
Tallulah Falls,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",34.731332,-83.375475,WAT,HYDRO,0.187,72
Taylor,Flint Electric Membership Corp,Energy Developments Inc,"Southern Company Services, Inc. - Trans",32.4522,-84.3872,LFG,BIOMASS,0.593,8
Taylor County Solar,Georgia Power Co,Southern Power Co,"Southern Company Services, Inc. - Trans",32.583056,-84.297222,SUN,SOLAR,,148
Tenaska Georgia Generating Station,Georgia Transmission Corp,Tenaska Georgia Partners LP,"Southern Company Services, Inc. - Trans",33.3516,-84.9996,NG,GAS,0.008,1099.2
Terrora,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",34.7504,-83.4063,WAT,HYDRO,0.249,16
Thiele Kaolin Reedy Creek,Georgia Power Co,Thiele Kaolin Co,"Southern Company Services, Inc. - Trans",33.2708,-82.4569,DFO,OIL, -   ,2.2
Thiele Kaolin Sandersville,Georgia Power Co,Thiele Kaolin Co,"Southern Company Services, Inc. - Trans",32.9708,-82.8028,DFO,OIL,0.001,2.4
Thomas A. Smith Energy Facility,Georgia Power Co,Oglethorpe Power Corporation,"Southern Company Services, Inc. - Trans",34.7094,-84.9175,NG,GAS,0.182,1192
Tugalo,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",34.7133,-83.3519,WAT,HYDRO,0.224,44.8
Upson Rocky Creek Solar Plant,Georgia Power Co,"SDD Solar Project 4, LLC","Southern Company Services, Inc. - Trans",32.920833,-84.343056,SUN,SOLAR,0.162,1
Valdosta,Georgia Power Co,Archer Daniels Midland Co,"Southern Company Services, Inc. - Trans",30.8,-83.2,WDS,BIOMASS,,2.5
Valdosta Water Treatment Plant,Georgia Power Co,Valdosta City of,"Southern Company Services, Inc. - Trans",30.9103,-83.2358,DFO,OIL,,3.4
VC Porterdale Hydroelectric,Georgia Power Co,"VC Porterdale Hydroelectric, LLC","Southern Company Services, Inc. - Trans",33.570092,-83.893919,WAT,HYDRO,0.039,3
Vogtle,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",33.1427,-81.7625,NUC,NUCLEAR,0.456,4520
W R Clayton Plant,,Municipal Electric Authority,,33.819444,-83.694444,NG,GAS,,513
Wallace Dam,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",33.3498,-83.1574,WAT,HYDRO, -   ,321.2
Walter F George,Alabama Power Co,USCE-Mobile District,"Southern Company Services, Inc. - Trans",34.61423,-84.674764,WAT,HYDRO,0.359,130
Walton Bainbridge Power Facility,Georgia Transmission Corp,South Eastern Elec Devt Corp,"Southern Company Services, Inc. - Trans",30.910985,-84.547304,DFO,OIL, -   ,80
"Walton County Power, LLC",Georgia Transmission Corp,Walton County Power,"Southern Company Services, Inc. - Trans",33.8148,-83.6954,NG,GAS,0.052,494.1
Wansley (6052),Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",33.41342,-85.032329,BIT,COAL,0.283,1956.8
Wansley (7946),Georgia Transmission Corp,Municipal Electric Authority,"Southern Company Services, Inc. - Trans",33.4083,-85.0403,NG,GAS,0.326,568
Wansley CC (55965),Georgia Power Co,Southern Power Co,"Southern Company Services, Inc. - Trans",33.406385,-85.036988,NG,GAS,0.55,1239
"Washington County Power, LLC",Georgia Transmission Corp,Washington County Power,"Southern Company Services, Inc. - Trans",33.092239,-82.979992,NG,GAS,0.009,795.6
West Point (GA),Georgia Power Co,USCE-Mobile District,"Southern Company Services, Inc. - Trans",32.918674,-85.1887,WAT,HYDRO,0.292,73.3
Yates,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",33.4622,-84.8986,BIT,COAL,0.055,1487.3
YKK USA Chestney,Georgia Power Co,YKK USA Inc,"Southern Company Services, Inc. - Trans",32.8061,-83.5456,DFO,OIL,,6.8
Yonah,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",34.681477,-83.342642,WAT,HYDRO,0.208,22.5
AES Hawaii,Hawaiian Electric Co Inc,AES Hawaii Inc,Hawaiian Electric Co Inc,21.303419,-158.106528,BIT,COAL,0.833,203
Aloha Solar Energy Fund 1 PK1,Hawaiian Electric Co Inc,Aloha Solar Energy Fund I LLC,Hawaiian Electric Co Inc,21.406944,-158.151389,SUN,SOLAR,,5
Auwahi Wind Energy,Maui Electric Co Ltd,Auwahi Wind Energy LLC,Hawaii Miscellaneous,20.596,-156.318,WND,WIND,0.26,35
"Biomass to Energy Facility, Kauai",Kauai Island Utility Cooperative,Green Energy Team LLC,Hawaii Miscellaneous,21.965278,-159.460556,DFO,OIL,0.004,10.3
Campbell Industrial Park,Hawaiian Electric Co Inc,Hawaiian Electric Co Inc,Hawaiian Electric Co Inc,21.3025,-158.101667,OBL,BIOMASS,0.037,113
CEIP Substation Distributed Generation,Hawaiian Electric Co Inc,Hawaiian Electric Co Inc,Hawaiian Electric Co Inc,21.3278,-158.0964,DFO,OIL,,4.8
EKS Solar Farm,Hawaiian Electric Co Inc,East Kapolei Solar LLC,Hawaiian Electric Co Inc,21.364444,-158.065,SUN,SOLAR,,5
Ewa Nui Substation DG,Hawaiian Electric Co Inc,Hawaiian Electric Co Inc,Hawaiian Electric Co Inc,21.3756,-158.0478,DFO,OIL,,9.6
Gay Robinson,Kauai Island Utility Cooperative,Gay & Robinson Inc,Hawaii Miscellaneous,21.9178,-159.6294,WAT,HYDRO,0.095,7
H Power,Hawaiian Electric Co Inc,Covanta Honolulu Resource Recovery,Hawaiian Electric Co Inc,21.300036,-158.098615,MSW,BIOMASS,0.449,97.3
Hamakua Energy Plant,Hawaii Electric Light Co Inc,Hamakua Energy Partners LP,Hawaii Miscellaneous,20.0939,-155.4711,WO,OIL,0.315,66
Hana Substation,Maui Electric Co Ltd,Maui Electric Co Ltd,Hawaii Miscellaneous,20.765833,-155.996111,DFO,OIL,0.002,2
Hawaii Cogen,Hawaiian Electric Co Inc,Chevron Refinery-Hawaii,Hawaiian Electric Co Inc,21.311667,-158.113889,WO,OIL,0.933,12.2
Hawaiian Comm & Sugar Puunene Mill,Maui Electric Co Ltd,Hawaiian Commercial and Sugar Company,Hawaiian Electric Co Inc,20.867453,-156.453958,AB,BIOMASS,0.278,62.1
Hawi  Wind Farm,Hawaii Electric Light Co Inc,"EDF Renewable Asset Holdings, Inc.",Hawaii Miscellaneous,20.257252,-155.850382,WND,WIND,0.35,10.6
Helemano Substation DG,Hawaiian Electric Co Inc,Hawaiian Electric Co Inc,Hawaiian Electric Co Inc,21.5292,-158.0458,DFO,OIL,,4.8
HNL Emergency Power Facility,Hawaiian Electric Co Inc,Hawaiian Electric Co Inc,Hawaiian Electric Co Inc,21.336389,-157.919444,OBL,BIOMASS,,10
Honbushin Solar Blessings Park,Hawaiian Electric Co Inc,Waihonu South LLC,Hawaiian Electric Co Inc,21.468889,-158.016389,SUN,SOLAR,,1.5
Honolulu,Hawaiian Electric Co Inc,Hawaiian Electric Co Inc,Hawaiian Electric Co Inc,21.3068,-157.8819,RFO,OIL,0.002,104.4
Iwilei Tank Farm DG,Hawaiian Electric Co Inc,Hawaiian Electric Co Inc,Hawaiian Electric Co Inc,21.3169,-157.8764,DFO,OIL,,4.8
Kahe,Hawaiian Electric Co Inc,Hawaiian Electric Co Inc,Hawaiian Electric Co Inc,21.356395,-158.128853,RFO,OIL,0.495,609.7
Kaheawa Pastures Wind Farm,Maui Electric Co Ltd,"First Wind O&M, LLC",Hawaii Miscellaneous,20.81421,-156.551,WND,WIND,0.415,30
Kaheawa Wind Power II LLC,Maui Electric Co Ltd,"First Wind O&M, LLC",Hawaii Miscellaneous,20.79467,-156.536,WND,WIND,0.256,31
Kaheka Hydro,Maui Electric Co Ltd,Hawaiian Commercial and Sugar Company,Hawaiian Electric Co Inc,20.8886,-156.3569,WAT,HYDRO,0.452,4.5
Kahuku Wind Power LLC,Hawaiian Electric Co Inc,"First Wind O&M, LLC",Hawaiian Electric Co Inc,21.68097,-157.975,WND,WIND,0.172,45
Kahului,Maui Electric Co Ltd,Maui Electric Co Ltd,Hawaii Miscellaneous,20.896884,-156.462696,RFO,OIL,0.424,34
Kalaeloa Cogen Plant,Hawaiian Electric Co Inc,Kalaeloa Partners LP,Hawaiian Electric Co Inc,21.302106,-158.096318,RFO,OIL,0.499,299.4
Kalaeloa Renewable Energy Park,Hawaiian Electric Co Inc,Hanwha Q CELLS USA,Hawaiian Electric Co Inc,21.328056,-158.04,SUN,SOLAR,0.202,5
Kalaeloa Solar One,Hawaiian Electric Co Inc,Kalaeloa Solar One LLC,Hawaiian Electric Co Inc,21.318882,-158.083931,SUN,SOLAR,,6
Kalaeloa Solar Two,Hawaiian Electric Co Inc,Kalaeloa Solar Two LLC,Hawaiian Electric Co Inc,21.32,-158.086944,SUN,SOLAR,0.259,5
Kalaeoloa Pole Yard DG,Hawaiian Electric Co Inc,Hawaiian Electric Co Inc,Hawaiian Electric Co Inc,21.3014,-158.0958,DFO,OIL,,4.8
Kalaheo Hydro,Kauai Island Utility Cooperative,McBryde Sugar Co Ltd,Hawaii Miscellaneous,21.936075,-159.528581,WAT,HYDRO,0.276,1.1
Kamaoa Wind Farm,,Apollo Energy Corp,Hawaii Miscellaneous,18.992222,-155.668056,WND,WIND,,9.2
Kanoelehua,Hawaii Electric Light Co Inc,Hawaii Electric Light Co Inc,Hawaii Miscellaneous,19.7052,-155.0625,DFO,OIL,0.006,21
Kapaa Photovoltaic Project,Kauai Island Utility Cooperative,Kapaa Solar LLC,Hawaii Miscellaneous,22.080416,-159.331599,SUN,SOLAR,0.206,1
Kapaia Power Station,Kauai Island Utility Cooperative,Kauai Island Utility Cooperative,Hawaii Miscellaneous,21.996451,-159.375803,OTH,OTHF,0.615,39.1
Kapolei Solar Energy Park,Department of the Navy,Forest City Sustainable Resources Pearl City LLC,Hawaii Miscellaneous,21.321111,-158.1175,SUN,SOLAR,0.221,1
Kawailoa Wind,Hawaiian Electric Co Inc,Kawailoa Wind LLC,Hawaiian Electric Co Inc,21.610278,-158.040833,WND,WIND,0.193,69
Keahole,Hawaii Electric Light Co Inc,Hawaii Electric Light Co Inc,Hawaii Miscellaneous,19.7317,-156.0283,DFO,OIL,0.357,96.6
KRS I Anahola Solar,Kauai Island Utility Cooperative,Kauai Island Utility Cooperative,Hawaii Miscellaneous,22.131667,-159.303056,SUN,SOLAR,,12
KRS II Koloa Solar,Kauai Island Utility Cooperative,Kauai Island Utility Cooperative,Hawaii Miscellaneous,21.900833,-159.45,SUN,SOLAR,0.099,12
Lalamilo Windfarm,Hawaii Electric Light Co Inc,Hawaii Electric Light Co Inc,Hawaii Miscellaneous,20.023333,-155.746667,WND,WIND,,2.2
Lanai Solar-Electric Plant,Maui Electric Co Ltd,Lanai Sustainability Research LLC,Hawaii Miscellaneous,20.7667,-156.9233,SUN,SOLAR,0.168,1.2
Maalaea,Maui Electric Co Ltd,Maui Electric Co Ltd,Hawaii Miscellaneous,20.80117,-156.492981,DFO,OIL,0.338,229.8
Mauka FIT One,Hawaiian Electric Co Inc,Mauka Fit One LLC,Hawaiian Electric Co Inc,21.679722,-157.984444,SUN,SOLAR,,3.5
Miki Basin,Maui Electric Co Ltd,Maui Electric Co Ltd,Hawaii Miscellaneous,20.79,-156.9342,DFO,OIL,0.222,10.4
Mililani South PV,Hawaiian Electric Co Inc,"First Wind O&M, LLC",Hawaiian Electric Co Inc,21.422778,-158.018333,SUN,SOLAR,,20
Mililani South Solar Farm,Hawaiian Electric Co Inc,Lanai Sustainability Research LLC,Hawaiian Electric Co Inc,21.46,-157.9603,SUN,SOLAR,,5
Na Pua Makani Wind Project,Hawaiian Electric Co Inc,Na Pua Makani Power Partners LLC,Hawaiian Electric Co Inc,21.666944,-157.97,WND,WIND,,25
Paia Hydroelectric Plant,Maui Electric Co Ltd,Hawaiian Commercial and Sugar Company,Hawaiian Electric Co Inc,20.886667,-156.337778,WAT,HYDRO,0.067,1.3
Pakini Nui Wind Farm,Hawaii Electric Light Co Inc,Apollo Energy Corp,Hawaii Miscellaneous,18.9742,-155.6914,WND,WIND,0.563,21
Palaau Power,Maui Electric Co Ltd,Maui Electric Co Ltd,Hawaii Miscellaneous,21.106,-157.0647,DFO,OIL,0.241,15.1
Pearl City Peninsula Solar Park,Department of the Navy,Forest City Sustainable Resources Pearl City LLC,Hawaii Miscellaneous,21.375556,-157.968056,SUN,SOLAR,0.232,1
Port Allen (HI),Kauai Island Utility Cooperative,Kauai Island Utility Cooperative,Hawaii Miscellaneous,21.899583,-159.585042,DFO,OIL,0.191,99.5
Port Allen Solar,Kauai Island Utility Cooperative,McBryde Sugar Co Ltd,Hawaii Miscellaneous,21.901944,-159.581667,SUN,SOLAR,0.021,6
Puna,Hawaii Electric Light Co Inc,Hawaii Electric Light Co Inc,Hawaii Miscellaneous,19.6316,-155.0313,RFO,OIL,0.131,39.1
Puna Geothermal Venture I,Hawaii Electric Light Co Inc,Puna Geothermal Venture,Hawaii Miscellaneous,19.478976,-154.888362,GEO,GEOTHERMAL,0.568,51
Puueo,Hawaii Electric Light Co Inc,Hawaii Electric Light Co Inc,Hawaii Miscellaneous,19.7264,-155.0908,WAT,HYDRO,0.416,4.6
Shipman,Hawaii Electric Light Co Inc,Hawaii Electric Light Co Inc,Hawaii Miscellaneous,19.7239,-155.069,RFO,OIL, -   ,18.5
Tesoro Hawaii,Hawaiian Electric Co Inc,PAR Petroleum,Hawaiian Electric Co Inc,21.303229,-158.091438,WO,OIL,0.84,20
W H Hill,Hawaii Electric Light Co Inc,Hawaii Electric Light Co Inc,Hawaii Miscellaneous,19.7041,-155.0607,RFO,OIL,0.525,37.1
Waiau,Hawaiian Electric Co Inc,Hawaiian Electric Co Inc,Hawaiian Electric Co Inc,21.388997,-157.961518,RFO,OIL,0.251,474.6
Waiau Hydro,Hawaii Electric Light Co Inc,Hawaii Electric Light Co Inc,Hawaii Miscellaneous,19.7203,-155.1189,WAT,HYDRO,0.776,1
Waihonu North Solar,Hawaiian Electric Co Inc,Waihonu North LLC,Hawaiian Electric Co Inc,21.470556,-158.013333,SUN,SOLAR,,5
Wailuku River Hydroelectric,Hawaii Electric Light Co Inc,Wailuku Holding Company LLC,Hawaii Miscellaneous,19.712994,-155.14857,WAT,HYDRO,0.2,10.4
