 PNAME , OPRNAME , UTLSRVNM ,BANAME, LAT , LON , PLPRMFL , PLFUELCT , CAPFAC , NAMEPCAP 
Florence Hills LLC,Northern States Power Co - Minnesota,CHI Operations Inc,"Midcontinent Independent Transmission System Operator, Inc..",44.2297,-96.225,WND,WIND,0.377,1.9
Fond Du Lac,"ALLETE, Inc.","ALLETE, Inc.","Midcontinent Independent Transmission System Operator, Inc..",46.666768,-92.293897,WAT,HYDRO,0.327,12
Fox Lake,ITC Midwest LLC,Interstate Power and Light Co,"Midcontinent Independent Transmission System Operator, Inc..",43.6728,-94.7075,NG,GAS,0.001,133.4
Franklin Heating Station,Rochester Public Utilities,Franklin Heating Station,"Midcontinent Independent Transmission System Operator, Inc..",44.020576,-92.465599,NG,GAS,0.231,32.6
G Flow Wind LLC,Great River Energy,Wolf Wind Project,"Midcontinent Independent Transmission System Operator, Inc..",43.586111,-95.776111,WND,WIND,0.338,1.3
G McNeilus Wind Farm Dodge Center,Northern States Power Co - Minnesota,Garwin McNeilus,"Midcontinent Independent Transmission System Operator, Inc..",43.978486,-92.851078,WND,WIND,0.287,43
GL Wind,ITC Midwest LLC,GL Wind LLC,"Midcontinent Independent Transmission System Operator, Inc..",43.991667,-91.877777,WND,WIND,0.292,5
Glencoe,Northern States Power Co,Glencoe Light & Power Comm,"Midcontinent Independent Transmission System Operator, Inc..",44.7709,-94.1582,DFO,OIL,0.001,40.8
Grand Marais,City of Grand Marais - (MN),City of Grand Marais - (MN),"Midcontinent Independent Transmission System Operator, Inc..",47.7758,-90.3392,DFO,OIL,0.002,9.7
Grand Meadow,Great River Energy,Northern States Power Co - Minnesota,"Midcontinent Independent Transmission System Operator, Inc..",43.7189,-92.705,WND,WIND,0.392,100.5
Granite City,Northern States Power Co - Minnesota,Northern States Power Co - Minnesota,"Midcontinent Independent Transmission System Operator, Inc..",45.5756,-94.1408,NG,GAS, -   ,72
Granite Falls,City of Granite Falls - (MN),City of Granite Falls - (MN),"Midcontinent Independent Transmission System Operator, Inc..",44.811685,-95.53455,WAT,HYDRO,0.191,1.3
Granite Falls 2,City of Granite Falls - (MN),City of Granite Falls - (MN),"Midcontinent Independent Transmission System Operator, Inc..",44.8086,-95.5517,DFO,OIL, -   ,6
Grant County Wind LLC,Otter Tail Power Co,Grant County Wind LLC,"Midcontinent Independent Transmission System Operator, Inc..",45.8033,-95.8844,WND,WIND,0.405,20
Green Acres Breeze LLC,Great River Energy,Wolf Wind Project,"Midcontinent Independent Transmission System Operator, Inc..",43.586111,-95.780278,WND,WIND,0.366,1.3
Greenback Energy,Northern States Power Co - Minnesota,Greenback Energy LLC,"Midcontinent Independent Transmission System Operator, Inc..",44.0208,-96.4331,WND,WIND,0.375,1.7
GRS Pine Bend,Northern States Power Co - Minnesota,Pine Bend LLC,"Midcontinent Independent Transmission System Operator, Inc..",44.786977,-93.055586,LFG,BIOMASS,0.241,16.6
Hadley Ridge LLC,Otter Tail Power Co,CHI Operations Inc,"Midcontinent Independent Transmission System Operator, Inc..",44.2253,-96.235,WND,WIND,0.4,1.9
Halstad,City of Halstad - (MN),City of Halstad - (MN),"Midcontinent Independent Transmission System Operator, Inc..",47.3525,-96.815,DFO,OIL, -   ,5.1
Hastings,Dakota Electric Association,Energy Alternatives Wholesale LLC,"Midcontinent Independent Transmission System Operator, Inc..",44.7,-92.893611,DFO,OIL,0.004,8.8
Hastings City Hydroelectric,Northern States Power Co - Minnesota,Hastings Lock & Dam,"Midcontinent Independent Transmission System Operator, Inc..",44.760249,-92.867743,WAT,HYDRO,0.472,4.4
